vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,219.0,76.84,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
VOTOS EN BLANCO,45.0,15.79,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
VOTOS NULOS,21.0,7.37,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
TOTAL DE VOTOS EMITIDOS,285.0,100.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
TOTAL DE VOTOS VÁLIDOS,204.0,77.27,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
VOTOS EN BLANCO,53.0,20.08,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
VOTOS NULOS,7.0,2.65,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
TOTAL DE VOTOS EMITIDOS,264.0,100.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
TOTAL DE VOTOS VÁLIDOS,387.0,79.47,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
VOTOS EN BLANCO,78.0,16.02,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
VOTOS NULOS,22.0,4.52,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
TOTAL DE VOTOS EMITIDOS,487.0,100.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
TOTAL DE VOTOS VÁLIDOS,348.0,71.31,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
VOTOS EN BLANCO,103.0,21.11,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
VOTOS NULOS,37.0,7.58,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
TOTAL DE VOTOS EMITIDOS,488.0,100.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
TOTAL DE VOTOS VÁLIDOS,2414.0,77.17,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
VOTOS EN BLANCO,562.0,17.97,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
VOTOS NULOS,152.0,4.86,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
TOTAL DE VOTOS EMITIDOS,3128.0,100.0,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
TOTAL DE VOTOS VÁLIDOS,3188.0,79.03,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
VOTOS EN BLANCO,654.0,16.21,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
VOTOS NULOS,192.0,4.76,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
TOTAL DE VOTOS EMITIDOS,4034.0,100.0,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
TOTAL DE VOTOS VÁLIDOS,436.0,72.67,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
VOTOS EN BLANCO,125.0,20.83,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
VOTOS NULOS,39.0,6.5,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
TOTAL DE VOTOS EMITIDOS,600.0,100.0,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
TOTAL DE VOTOS VÁLIDOS,180.0,75.31,010307,PERÚ,AMAZONAS,BONGARA,RECTA
VOTOS EN BLANCO,49.0,20.5,010307,PERÚ,AMAZONAS,BONGARA,RECTA
VOTOS NULOS,10.0,4.18,010307,PERÚ,AMAZONAS,BONGARA,RECTA
TOTAL DE VOTOS EMITIDOS,239.0,100.0,010307,PERÚ,AMAZONAS,BONGARA,RECTA
TOTAL DE VOTOS VÁLIDOS,236.0,76.13,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
VOTOS EN BLANCO,56.0,18.06,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
VOTOS NULOS,18.0,5.81,010308,PERÚ,AMAZONAS,BONGARA,SAN CARLOS
