vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,253.0,91.336,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
VOTOS EN BLANCO,6.0,2.166,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
VOTOS NULOS,18.0,6.498,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
TOTAL DE VOTOS EMITIDOS,277.0,100.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
TOTAL DE VOTOS VÁLIDOS,254.0,95.131,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
VOTOS EN BLANCO,5.0,1.873,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
VOTOS NULOS,8.0,2.996,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
TOTAL DE VOTOS EMITIDOS,267.0,100.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
TOTAL DE VOTOS VÁLIDOS,423.0,91.957,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
VOTOS EN BLANCO,4.0,0.87,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
VOTOS NULOS,33.0,7.174,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
TOTAL DE VOTOS EMITIDOS,460.0,100.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
TOTAL DE VOTOS VÁLIDOS,438.0,93.79,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
VOTOS EN BLANCO,5.0,1.071,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
VOTOS NULOS,24.0,5.139,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
TOTAL DE VOTOS EMITIDOS,467.0,100.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
TOTAL DE VOTOS VÁLIDOS,2760.0,91.029,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
VOTOS EN BLANCO,42.0,1.385,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
VOTOS NULOS,230.0,7.586,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
TOTAL DE VOTOS EMITIDOS,3032.0,100.0,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
TOTAL DE VOTOS VÁLIDOS,3676.0,94.256,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
VOTOS EN BLANCO,42.0,1.077,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
VOTOS NULOS,182.0,4.667,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
TOTAL DE VOTOS EMITIDOS,3900.0,100.0,010312,PERÚ,AMAZONAS,BONGARA,JAZAN
TOTAL DE VOTOS VÁLIDOS,530.0,90.444,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
VOTOS EN BLANCO,4.0,0.683,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
VOTOS NULOS,52.0,8.874,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
TOTAL DE VOTOS EMITIDOS,586.0,100.0,010301,PERÚ,AMAZONAS,BONGARA,JUMBILLA
TOTAL DE VOTOS VÁLIDOS,215.0,95.133,010307,PERÚ,AMAZONAS,BONGARA,RECTA
VOTOS EN BLANCO,2.0,0.885,010307,PERÚ,AMAZONAS,BONGARA,RECTA
VOTOS NULOS,9.0,3.982,010307,PERÚ,AMAZONAS,BONGARA,RECTA
