party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PERUANOS POR EL KAMBIO ,1504.0,33.304,30.146,050408,PERÚ,AYACUCHO,LA MAR,SANTA ROSA
FUERZA POPULAR ,3012.0,66.696,60.373,050408,PERÚ,AYACUCHO,LA MAR,SANTA ROSA
PERUANOS POR EL KAMBIO ,1426.0,25.946,22.871,050406,PERÚ,AYACUCHO,LA MAR,TAMBO
FUERZA POPULAR ,4070.0,74.054,65.277,050406,PERÚ,AYACUCHO,LA MAR,TAMBO
PERUANOS POR EL KAMBIO ,8749.0,39.908,36.897,050500,PERÚ,AYACUCHO,LUCANAS,TODOS
FUERZA POPULAR ,13174.0,60.092,55.558,050500,PERÚ,AYACUCHO,LUCANAS,TODOS
PERUANOS POR EL KAMBIO ,354.0,40.182,36.308,050502,PERÚ,AYACUCHO,LUCANAS,AUCARA
FUERZA POPULAR ,527.0,59.818,54.051,050502,PERÚ,AYACUCHO,LUCANAS,AUCARA
PERUANOS POR EL KAMBIO ,215.0,41.91,37.986,050503,PERÚ,AYACUCHO,LUCANAS,CABANA
FUERZA POPULAR ,298.0,58.09,52.65,050503,PERÚ,AYACUCHO,LUCANAS,CABANA
PERUANOS POR EL KAMBIO ,303.0,56.215,50.669,050504,PERÚ,AYACUCHO,LUCANAS,CARMEN SALCEDO
FUERZA POPULAR ,236.0,43.785,39.465,050504,PERÚ,AYACUCHO,LUCANAS,CARMEN SALCEDO
PERUANOS POR EL KAMBIO ,389.0,41.963,36.629,050506,PERÚ,AYACUCHO,LUCANAS,CHAVIÑA
FUERZA POPULAR ,538.0,58.037,50.659,050506,PERÚ,AYACUCHO,LUCANAS,CHAVIÑA
PERUANOS POR EL KAMBIO ,486.0,47.139,42.933,050508,PERÚ,AYACUCHO,LUCANAS,CHIPAO
FUERZA POPULAR ,545.0,52.861,48.145,050508,PERÚ,AYACUCHO,LUCANAS,CHIPAO
PERUANOS POR EL KAMBIO ,264.0,36.565,34.921,050510,PERÚ,AYACUCHO,LUCANAS,HUAC-HUAS
FUERZA POPULAR ,458.0,63.435,60.582,050510,PERÚ,AYACUCHO,LUCANAS,HUAC-HUAS
PERUANOS POR EL KAMBIO ,263.0,33.165,31.161,050511,PERÚ,AYACUCHO,LUCANAS,LARAMATE
FUERZA POPULAR ,530.0,66.835,62.796,050511,PERÚ,AYACUCHO,LUCANAS,LARAMATE
PERUANOS POR EL KAMBIO ,177.0,29.353,28.006,050512,PERÚ,AYACUCHO,LUCANAS,LEONCIO PRADO
FUERZA POPULAR ,426.0,70.647,67.405,050512,PERÚ,AYACUCHO,LUCANAS,LEONCIO PRADO
PERUANOS POR EL KAMBIO ,212.0,30.504,28.844,050514,PERÚ,AYACUCHO,LUCANAS,LLAUTA
FUERZA POPULAR ,483.0,69.496,65.714,050514,PERÚ,AYACUCHO,LUCANAS,LLAUTA
PERUANOS POR EL KAMBIO ,549.0,40.015,36.87,050513,PERÚ,AYACUCHO,LUCANAS,LUCANAS
FUERZA POPULAR ,823.0,59.985,55.272,050513,PERÚ,AYACUCHO,LUCANAS,LUCANAS
PERUANOS POR EL KAMBIO ,333.0,27.317,25.498,050516,PERÚ,AYACUCHO,LUCANAS,OCAÑA
FUERZA POPULAR ,886.0,72.683,67.841,050516,PERÚ,AYACUCHO,LUCANAS,OCAÑA
PERUANOS POR EL KAMBIO ,192.0,21.076,20.189,050517,PERÚ,AYACUCHO,LUCANAS,OTOCA
FUERZA POPULAR ,719.0,78.924,75.605,050517,PERÚ,AYACUCHO,LUCANAS,OTOCA
PERUANOS POR EL KAMBIO ,3295.0,52.12,48.392,050501,PERÚ,AYACUCHO,LUCANAS,PUQUIO
FUERZA POPULAR ,3027.0,47.88,44.456,050501,PERÚ,AYACUCHO,LUCANAS,PUQUIO
PERUANOS POR EL KAMBIO ,87.0,42.029,40.654,050529,PERÚ,AYACUCHO,LUCANAS,SAISA
FUERZA POPULAR ,120.0,57.971,56.075,050529,PERÚ,AYACUCHO,LUCANAS,SAISA
PERUANOS POR EL KAMBIO ,386.0,47.478,42.371,050532,PERÚ,AYACUCHO,LUCANAS,SAN CRISTOBAL
FUERZA POPULAR ,427.0,52.522,46.872,050532,PERÚ,AYACUCHO,LUCANAS,SAN CRISTOBAL
PERUANOS POR EL KAMBIO ,148.0,40.437,38.243,050521,PERÚ,AYACUCHO,LUCANAS,SAN JUAN
FUERZA POPULAR ,218.0,59.563,56.331,050521,PERÚ,AYACUCHO,LUCANAS,SAN JUAN
PERUANOS POR EL KAMBIO ,345.0,24.928,23.061,050522,PERÚ,AYACUCHO,LUCANAS,SAN PEDRO
FUERZA POPULAR ,1039.0,75.072,69.452,050522,PERÚ,AYACUCHO,LUCANAS,SAN PEDRO
PERUANOS POR EL KAMBIO ,160.0,31.373,28.319,050531,PERÚ,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO
FUERZA POPULAR ,350.0,68.627,61.947,050531,PERÚ,AYACUCHO,LUCANAS,SAN PEDRO DE PALCO
PERUANOS POR EL KAMBIO ,367.0,27.553,25.275,050520,PERÚ,AYACUCHO,LUCANAS,SANCOS
FUERZA POPULAR ,965.0,72.447,66.46,050520,PERÚ,AYACUCHO,LUCANAS,SANCOS
PERUANOS POR EL KAMBIO ,125.0,42.373,38.58,050524,PERÚ,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO
FUERZA POPULAR ,170.0,57.627,52.469,050524,PERÚ,AYACUCHO,LUCANAS,SANTA ANA DE HUAYCAHUACHO
PERUANOS POR EL KAMBIO ,99.0,20.287,19.488,050525,PERÚ,AYACUCHO,LUCANAS,SANTA LUCIA
FUERZA POPULAR ,389.0,79.713,76.575,050525,PERÚ,AYACUCHO,LUCANAS,SANTA LUCIA
PERUANOS POR EL KAMBIO ,5171.0,48.857,44.493,050600,PERÚ,AYACUCHO,PARINACOCHAS,TODOS
FUERZA POPULAR ,5413.0,51.143,46.575,050600,PERÚ,AYACUCHO,PARINACOCHAS,TODOS
PERUANOS POR EL KAMBIO ,447.0,41.009,37.003,050605,PERÚ,AYACUCHO,PARINACOCHAS,CHUMPI
FUERZA POPULAR ,643.0,58.991,53.228,050605,PERÚ,AYACUCHO,PARINACOCHAS,CHUMPI
PERUANOS POR EL KAMBIO ,3263.0,62.486,56.996,050601,PERÚ,AYACUCHO,PARINACOCHAS,CORACORA
FUERZA POPULAR ,1959.0,37.514,34.218,050601,PERÚ,AYACUCHO,PARINACOCHAS,CORACORA
PERUANOS POR EL KAMBIO ,92.0,26.286,22.886,050604,PERÚ,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA
FUERZA POPULAR ,258.0,73.714,64.179,050604,PERÚ,AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA
PERUANOS POR EL KAMBIO ,181.0,54.354,47.013,050608,PERÚ,AYACUCHO,PARINACOCHAS,PACAPAUSA
FUERZA POPULAR ,152.0,45.646,39.481,050608,PERÚ,AYACUCHO,PARINACOCHAS,PACAPAUSA
PERUANOS POR EL KAMBIO ,421.0,25.702,24.321,050611,PERÚ,AYACUCHO,PARINACOCHAS,PULLO
FUERZA POPULAR ,1217.0,74.298,70.306,050611,PERÚ,AYACUCHO,PARINACOCHAS,PULLO
PERUANOS POR EL KAMBIO ,421.0,40.834,36.736,050612,PERÚ,AYACUCHO,PARINACOCHAS,PUYUSCA
FUERZA POPULAR ,610.0,59.166,53.229,050612,PERÚ,AYACUCHO,PARINACOCHAS,PUYUSCA
PERUANOS POR EL KAMBIO ,124.0,35.838,32.376,050615,PERÚ,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO
FUERZA POPULAR ,222.0,64.162,57.963,050615,PERÚ,AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO
PERUANOS POR EL KAMBIO ,222.0,38.676,34.579,050616,PERÚ,AYACUCHO,PARINACOCHAS,UPAHUACHO
FUERZA POPULAR ,352.0,61.324,54.829,050616,PERÚ,AYACUCHO,PARINACOCHAS,UPAHUACHO
PERUANOS POR EL KAMBIO ,2070.0,49.286,45.485,051000,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,TODOS
FUERZA POPULAR ,2130.0,50.714,46.803,051000,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,TODOS
PERUANOS POR EL KAMBIO ,112.0,50.0,45.344,051002,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,COLTA
FUERZA POPULAR ,112.0,50.0,45.344,051002,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,COLTA
PERUANOS POR EL KAMBIO ,80.0,39.801,37.736,051003,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA
FUERZA POPULAR ,121.0,60.199,57.075,051003,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA
PERUANOS POR EL KAMBIO ,428.0,46.421,43.32,051004,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,LAMPA
FUERZA POPULAR ,494.0,53.579,50.0,051004,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,LAMPA
PERUANOS POR EL KAMBIO ,134.0,42.812,40.854,051005,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA
FUERZA POPULAR ,179.0,57.188,54.573,051005,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA
PERUANOS POR EL KAMBIO ,244.0,65.591,57.82,051006,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO
FUERZA POPULAR ,128.0,34.409,30.332,051006,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO
PERUANOS POR EL KAMBIO ,154.0,63.374,58.779,051007,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA
FUERZA POPULAR ,89.0,36.626,33.969,051007,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,PARARCA
PERUANOS POR EL KAMBIO ,622.0,47.994,44.429,051001,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA
FUERZA POPULAR ,674.0,52.006,48.143,051001,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA
PERUANOS POR EL KAMBIO ,79.0,35.111,31.6,051008,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA
FUERZA POPULAR ,146.0,64.889,58.4,051008,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA
PERUANOS POR EL KAMBIO ,61.0,49.593,46.923,051009,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA
FUERZA POPULAR ,62.0,50.407,47.692,051009,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA
PERUANOS POR EL KAMBIO ,156.0,55.516,50.0,051010,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA
FUERZA POPULAR ,125.0,44.484,40.064,051010,PERÚ,AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA
PERUANOS POR EL KAMBIO ,1986.0,46.884,42.336,051100,PERÚ,AYACUCHO,SUCRE,TODOS
FUERZA POPULAR ,2250.0,53.116,47.964,051100,PERÚ,AYACUCHO,SUCRE,TODOS
PERUANOS POR EL KAMBIO ,59.0,45.038,42.143,051102,PERÚ,AYACUCHO,SUCRE,BELEN
FUERZA POPULAR ,72.0,54.962,51.429,051102,PERÚ,AYACUCHO,SUCRE,BELEN
PERUANOS POR EL KAMBIO ,84.0,35.443,32.685,051103,PERÚ,AYACUCHO,SUCRE,CHALCOS
FUERZA POPULAR ,153.0,64.557,59.533,051103,PERÚ,AYACUCHO,SUCRE,CHALCOS
PERUANOS POR EL KAMBIO ,78.0,27.758,25.243,051110,PERÚ,AYACUCHO,SUCRE,CHILCAYOC
FUERZA POPULAR ,203.0,72.242,65.696,051110,PERÚ,AYACUCHO,SUCRE,CHILCAYOC
PERUANOS POR EL KAMBIO ,96.0,46.154,42.478,051109,PERÚ,AYACUCHO,SUCRE,HUACAÑA
FUERZA POPULAR ,112.0,53.846,49.558,051109,PERÚ,AYACUCHO,SUCRE,HUACAÑA
PERUANOS POR EL KAMBIO ,187.0,37.177,32.241,051111,PERÚ,AYACUCHO,SUCRE,MORCOLLA
FUERZA POPULAR ,316.0,62.823,54.483,051111,PERÚ,AYACUCHO,SUCRE,MORCOLLA
PERUANOS POR EL KAMBIO ,152.0,52.778,48.718,051105,PERÚ,AYACUCHO,SUCRE,PAICO
FUERZA POPULAR ,136.0,47.222,43.59,051105,PERÚ,AYACUCHO,SUCRE,PAICO
PERUANOS POR EL KAMBIO ,553.0,52.969,48.255,051101,PERÚ,AYACUCHO,SUCRE,QUEROBAMBA
FUERZA POPULAR ,491.0,47.031,42.845,051101,PERÚ,AYACUCHO,SUCRE,QUEROBAMBA
PERUANOS POR EL KAMBIO ,195.0,59.633,52.279,051107,PERÚ,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY
FUERZA POPULAR ,132.0,40.367,35.389,051107,PERÚ,AYACUCHO,SUCRE,SAN PEDRO DE LARCAY
PERUANOS POR EL KAMBIO ,252.0,45.324,41.109,051104,PERÚ,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE
FUERZA POPULAR ,304.0,54.676,49.592,051104,PERÚ,AYACUCHO,SUCRE,SAN SALVADOR DE QUIJE
PERUANOS POR EL KAMBIO ,150.0,49.669,46.012,051106,PERÚ,AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY
FUERZA POPULAR ,152.0,50.331,46.626,051106,PERÚ,AYACUCHO,SUCRE,SANTIAGO DE PAUCARAY
PERUANOS POR EL KAMBIO ,180.0,50.139,44.01,051108,PERÚ,AYACUCHO,SUCRE,SORAS
FUERZA POPULAR ,179.0,49.861,43.765,051108,PERÚ,AYACUCHO,SUCRE,SORAS
PERUANOS POR EL KAMBIO ,5070.0,57.804,50.114,050700,PERÚ,AYACUCHO,VICTOR FAJARDO,TODOS
FUERZA POPULAR ,3701.0,42.196,36.582,050700,PERÚ,AYACUCHO,VICTOR FAJARDO,TODOS
PERUANOS POR EL KAMBIO ,563.0,64.713,57.449,050702,PERÚ,AYACUCHO,VICTOR FAJARDO,ALCAMENCA
FUERZA POPULAR ,307.0,35.287,31.327,050702,PERÚ,AYACUCHO,VICTOR FAJARDO,ALCAMENCA
PERUANOS POR EL KAMBIO ,154.0,49.518,44.638,050703,PERÚ,AYACUCHO,VICTOR FAJARDO,APONGO
FUERZA POPULAR ,157.0,50.482,45.507,050703,PERÚ,AYACUCHO,VICTOR FAJARDO,APONGO
PERUANOS POR EL KAMBIO ,82.0,43.158,37.104,050715,PERÚ,AYACUCHO,VICTOR FAJARDO,ASQUIPATA
FUERZA POPULAR ,108.0,56.842,48.869,050715,PERÚ,AYACUCHO,VICTOR FAJARDO,ASQUIPATA
PERUANOS POR EL KAMBIO ,552.0,47.179,39.769,050704,PERÚ,AYACUCHO,VICTOR FAJARDO,CANARIA
FUERZA POPULAR ,618.0,52.821,44.524,050704,PERÚ,AYACUCHO,VICTOR FAJARDO,CANARIA
PERUANOS POR EL KAMBIO ,278.0,56.967,49.117,050706,PERÚ,AYACUCHO,VICTOR FAJARDO,CAYARA
FUERZA POPULAR ,210.0,43.033,37.102,050706,PERÚ,AYACUCHO,VICTOR FAJARDO,CAYARA
PERUANOS POR EL KAMBIO ,321.0,53.859,49.461,050707,PERÚ,AYACUCHO,VICTOR FAJARDO,COLCA
FUERZA POPULAR ,275.0,46.141,42.373,050707,PERÚ,AYACUCHO,VICTOR FAJARDO,COLCA
PERUANOS POR EL KAMBIO ,462.0,57.249,48.125,050708,PERÚ,AYACUCHO,VICTOR FAJARDO,HUALLA
FUERZA POPULAR ,345.0,42.751,35.938,050708,PERÚ,AYACUCHO,VICTOR FAJARDO,HUALLA
PERUANOS POR EL KAMBIO ,258.0,51.394,45.263,050709,PERÚ,AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA
FUERZA POPULAR ,244.0,48.606,42.807,050709,PERÚ,AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA
PERUANOS POR EL KAMBIO ,639.0,64.545,57.776,050701,PERÚ,AYACUCHO,VICTOR FAJARDO,HUANCAPI
FUERZA POPULAR ,351.0,35.455,31.736,050701,PERÚ,AYACUCHO,VICTOR FAJARDO,HUANCAPI
PERUANOS POR EL KAMBIO ,238.0,34.493,29.419,050710,PERÚ,AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA
FUERZA POPULAR ,452.0,65.507,55.871,050710,PERÚ,AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA
PERUANOS POR EL KAMBIO ,779.0,76.447,63.128,050713,PERÚ,AYACUCHO,VICTOR FAJARDO,SARHUA
FUERZA POPULAR ,240.0,23.553,19.449,050713,PERÚ,AYACUCHO,VICTOR FAJARDO,SARHUA
PERUANOS POR EL KAMBIO ,744.0,65.378,57.719,050714,PERÚ,AYACUCHO,VICTOR FAJARDO,VILCANCHOS
FUERZA POPULAR ,394.0,34.622,30.566,050714,PERÚ,AYACUCHO,VICTOR FAJARDO,VILCANCHOS
PERUANOS POR EL KAMBIO ,3794.0,44.168,37.97,050900,PERÚ,AYACUCHO,VILCAS HUAMAN,TODOS
FUERZA POPULAR ,4796.0,55.832,47.998,050900,PERÚ,AYACUCHO,VILCAS HUAMAN,TODOS
PERUANOS POR EL KAMBIO ,331.0,63.41,55.075,050903,PERÚ,AYACUCHO,VILCAS HUAMAN,ACCOMARCA
FUERZA POPULAR ,191.0,36.59,31.78,050903,PERÚ,AYACUCHO,VILCAS HUAMAN,ACCOMARCA
PERUANOS POR EL KAMBIO ,156.0,41.489,33.051,050904,PERÚ,AYACUCHO,VILCAS HUAMAN,CARHUANCA
FUERZA POPULAR ,220.0,58.511,46.61,050904,PERÚ,AYACUCHO,VILCAS HUAMAN,CARHUANCA
PERUANOS POR EL KAMBIO ,483.0,49.036,43.909,050905,PERÚ,AYACUCHO,VILCAS HUAMAN,CONCEPCION
FUERZA POPULAR ,502.0,50.964,45.636,050905,PERÚ,AYACUCHO,VILCAS HUAMAN,CONCEPCION
PERUANOS POR EL KAMBIO ,268.0,35.263,30.317,050906,PERÚ,AYACUCHO,VILCAS HUAMAN,HUAMBALPA
FUERZA POPULAR ,492.0,64.737,55.656,050906,PERÚ,AYACUCHO,VILCAS HUAMAN,HUAMBALPA
PERUANOS POR EL KAMBIO ,318.0,50.962,45.954,050908,PERÚ,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA
FUERZA POPULAR ,306.0,49.038,44.22,050908,PERÚ,AYACUCHO,VILCAS HUAMAN,INDEPENDENCIA
PERUANOS POR EL KAMBIO ,271.0,48.393,42.88,050907,PERÚ,AYACUCHO,VILCAS HUAMAN,SAURAMA
FUERZA POPULAR ,289.0,51.607,45.728,050907,PERÚ,AYACUCHO,VILCAS HUAMAN,SAURAMA
PERUANOS POR EL KAMBIO ,1236.0,41.214,34.419,050901,PERÚ,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN
FUERZA POPULAR ,1763.0,58.786,49.095,050901,PERÚ,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN
PERUANOS POR EL KAMBIO ,731.0,41.44,36.188,050902,PERÚ,AYACUCHO,VILCAS HUAMAN,VISCHONGO
FUERZA POPULAR ,1033.0,58.56,51.139,050902,PERÚ,AYACUCHO,VILCAS HUAMAN,VISCHONGO
PERUANOS POR EL KAMBIO ,334694.0,50.076,45.125,060000,PERÚ,CAJAMARCA,TODOS,TODOS
FUERZA POPULAR ,333682.0,49.924,44.989,060000,PERÚ,CAJAMARCA,TODOS,TODOS
PERUANOS POR EL KAMBIO ,334694.0,50.076,45.125,,PERÚ,CAJAMARCA,TODOS,TODOS
FUERZA POPULAR ,333682.0,49.924,44.989,,PERÚ,CAJAMARCA,TODOS,TODOS
PERUANOS POR EL KAMBIO ,9567.0,30.873,26.813,060200,PERÚ,CAJAMARCA,CAJABAMBA,TODOS
FUERZA POPULAR ,21421.0,69.127,60.036,060200,PERÚ,CAJAMARCA,CAJABAMBA,TODOS
PERUANOS POR EL KAMBIO ,2192.0,33.167,28.24,060202,PERÚ,CAJAMARCA,CAJABAMBA,CACHACHI
FUERZA POPULAR ,4417.0,66.833,56.905,060202,PERÚ,CAJAMARCA,CAJABAMBA,CACHACHI
PERUANOS POR EL KAMBIO ,5623.0,33.387,29.485,060201,PERÚ,CAJAMARCA,CAJABAMBA,CAJABAMBA
FUERZA POPULAR ,11219.0,66.613,58.828,060201,PERÚ,CAJAMARCA,CAJABAMBA,CAJABAMBA
PERUANOS POR EL KAMBIO ,1395.0,28.99,24.156,060203,PERÚ,CAJAMARCA,CAJABAMBA,CONDEBAMBA
FUERZA POPULAR ,3417.0,71.01,59.169,060203,PERÚ,CAJAMARCA,CAJABAMBA,CONDEBAMBA
PERUANOS POR EL KAMBIO ,357.0,13.101,11.621,060205,PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA
FUERZA POPULAR ,2368.0,86.899,77.083,060205,PERÚ,CAJAMARCA,CAJABAMBA,SITACOCHA
PERUANOS POR EL KAMBIO ,76664.0,41.123,37.26,060100,PERÚ,CAJAMARCA,CAJAMARCA,TODOS
FUERZA POPULAR ,109760.0,58.877,53.345,060100,PERÚ,CAJAMARCA,CAJAMARCA,TODOS
PERUANOS POR EL KAMBIO ,2026.0,51.265,41.636,060102,PERÚ,CAJAMARCA,CAJAMARCA,ASUNCION
FUERZA POPULAR ,1926.0,48.735,39.581,060102,PERÚ,CAJAMARCA,CAJAMARCA,ASUNCION
PERUANOS POR EL KAMBIO ,52252.0,45.255,41.925,060101,PERÚ,CAJAMARCA,CAJAMARCA,CAJAMARCA
FUERZA POPULAR ,63208.0,54.745,50.716,060101,PERÚ,CAJAMARCA,CAJAMARCA,CAJAMARCA
PERUANOS POR EL KAMBIO ,789.0,46.714,36.027,060104,PERÚ,CAJAMARCA,CAJAMARCA,CHETILLA
FUERZA POPULAR ,900.0,53.286,41.096,060104,PERÚ,CAJAMARCA,CAJAMARCA,CHETILLA
PERUANOS POR EL KAMBIO ,1246.0,43.643,37.598,060103,PERÚ,CAJAMARCA,CAJAMARCA,COSPAN
FUERZA POPULAR ,1609.0,56.357,48.552,060103,PERÚ,CAJAMARCA,CAJAMARCA,COSPAN
PERUANOS POR EL KAMBIO ,6137.0,37.766,33.238,060105,PERÚ,CAJAMARCA,CAJAMARCA,ENCAÑADA
FUERZA POPULAR ,10113.0,62.234,54.771,060105,PERÚ,CAJAMARCA,CAJAMARCA,ENCAÑADA
PERUANOS POR EL KAMBIO ,2109.0,30.806,25.967,060106,PERÚ,CAJAMARCA,CAJAMARCA,JESUS
FUERZA POPULAR ,4737.0,69.194,58.323,060106,PERÚ,CAJAMARCA,CAJAMARCA,JESUS
PERUANOS POR EL KAMBIO ,670.0,21.938,20.006,060108,PERÚ,CAJAMARCA,CAJAMARCA,LLACANORA
FUERZA POPULAR ,2384.0,78.062,71.185,060108,PERÚ,CAJAMARCA,CAJAMARCA,LLACANORA
PERUANOS POR EL KAMBIO ,5318.0,25.591,23.201,060107,PERÚ,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA
FUERZA POPULAR ,15463.0,74.409,67.462,060107,PERÚ,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA
PERUANOS POR EL KAMBIO ,2507.0,51.584,43.083,060109,PERÚ,CAJAMARCA,CAJAMARCA,MAGDALENA
FUERZA POPULAR ,2353.0,48.416,40.437,060109,PERÚ,CAJAMARCA,CAJAMARCA,MAGDALENA
PERUANOS POR EL KAMBIO ,835.0,34.662,30.597,060110,PERÚ,CAJAMARCA,CAJAMARCA,MATARA
FUERZA POPULAR ,1574.0,65.338,57.677,060110,PERÚ,CAJAMARCA,CAJAMARCA,MATARA
PERUANOS POR EL KAMBIO ,1715.0,32.328,28.593,060111,PERÚ,CAJAMARCA,CAJAMARCA,NAMORA
FUERZA POPULAR ,3590.0,67.672,59.853,060111,PERÚ,CAJAMARCA,CAJAMARCA,NAMORA
PERUANOS POR EL KAMBIO ,1060.0,35.775,31.623,060112,PERÚ,CAJAMARCA,CAJAMARCA,SAN JUAN
FUERZA POPULAR ,1903.0,64.225,56.772,060112,PERÚ,CAJAMARCA,CAJAMARCA,SAN JUAN
PERUANOS POR EL KAMBIO ,22466.0,62.04,56.144,060300,PERÚ,CAJAMARCA,CELENDIN,TODOS
FUERZA POPULAR ,13746.0,37.96,34.352,060300,PERÚ,CAJAMARCA,CELENDIN,TODOS
PERUANOS POR EL KAMBIO ,7557.0,64.392,58.586,060301,PERÚ,CAJAMARCA,CELENDIN,CELENDIN
FUERZA POPULAR ,4179.0,35.608,32.398,060301,PERÚ,CAJAMARCA,CELENDIN,CELENDIN
PERUANOS POR EL KAMBIO ,669.0,69.688,63.714,060303,PERÚ,CAJAMARCA,CELENDIN,CHUMUCH
FUERZA POPULAR ,291.0,30.312,27.714,060303,PERÚ,CAJAMARCA,CELENDIN,CHUMUCH
PERUANOS POR EL KAMBIO ,1817.0,72.506,65.857,060302,PERÚ,CAJAMARCA,CELENDIN,CORTEGANA
FUERZA POPULAR ,689.0,27.494,24.973,060302,PERÚ,CAJAMARCA,CELENDIN,CORTEGANA
PERUANOS POR EL KAMBIO ,2950.0,74.195,66.667,060304,PERÚ,CAJAMARCA,CELENDIN,HUASMIN
FUERZA POPULAR ,1026.0,25.805,23.186,060304,PERÚ,CAJAMARCA,CELENDIN,HUASMIN
PERUANOS POR EL KAMBIO ,280.0,54.264,51.852,060305,PERÚ,CAJAMARCA,CELENDIN,JORGE CHAVEZ
FUERZA POPULAR ,236.0,45.736,43.704,060305,PERÚ,CAJAMARCA,CELENDIN,JORGE CHAVEZ
PERUANOS POR EL KAMBIO ,834.0,54.016,48.488,060306,PERÚ,CAJAMARCA,CELENDIN,JOSE GALVEZ
FUERZA POPULAR ,710.0,45.984,41.279,060306,PERÚ,CAJAMARCA,CELENDIN,JOSE GALVEZ
PERUANOS POR EL KAMBIO ,2006.0,68.417,60.641,060312,PERÚ,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN
FUERZA POPULAR ,926.0,31.583,27.993,060312,PERÚ,CAJAMARCA,CELENDIN,LA LIBERTAD DE PALLAN
PERUANOS POR EL KAMBIO ,1193.0,68.92,64.521,060307,PERÚ,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS
FUERZA POPULAR ,538.0,31.08,29.097,060307,PERÚ,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS
PERUANOS POR EL KAMBIO ,1504.0,59.073,50.589,060308,PERÚ,CAJAMARCA,CELENDIN,OXAMARCA
FUERZA POPULAR ,1042.0,40.927,35.049,060308,PERÚ,CAJAMARCA,CELENDIN,OXAMARCA
PERUANOS POR EL KAMBIO ,2028.0,42.022,38.776,060309,PERÚ,CAJAMARCA,CELENDIN,SOROCHUCO
FUERZA POPULAR ,2798.0,57.978,53.499,060309,PERÚ,CAJAMARCA,CELENDIN,SOROCHUCO
PERUANOS POR EL KAMBIO ,1237.0,54.662,48.415,060310,PERÚ,CAJAMARCA,CELENDIN,SUCRE
FUERZA POPULAR ,1026.0,45.338,40.157,060310,PERÚ,CAJAMARCA,CELENDIN,SUCRE
PERUANOS POR EL KAMBIO ,391.0,57.84,55.304,060311,PERÚ,CAJAMARCA,CELENDIN,UTCO
FUERZA POPULAR ,285.0,42.16,40.311,060311,PERÚ,CAJAMARCA,CELENDIN,UTCO
PERUANOS POR EL KAMBIO ,39309.0,56.041,49.895,060600,PERÚ,CAJAMARCA,CHOTA,TODOS
FUERZA POPULAR ,30834.0,43.959,39.138,060600,PERÚ,CAJAMARCA,CHOTA,TODOS
