party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PERUANOS POR EL KAMBIO ,918.0,33.129,30.951,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
FUERZA POPULAR ,1853.0,66.871,62.475,010311,PERÚ,AMAZONAS,BONGARA,YAMBRASBAMBA
PERUANOS POR EL KAMBIO ,13771.0,54.044,50.506,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
FUERZA POPULAR ,11710.0,45.956,42.947,010100,PERÚ,AMAZONAS,CHACHAPOYAS,TODOS
PERUANOS POR EL KAMBIO ,99.0,58.929,52.941,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
FUERZA POPULAR ,69.0,41.071,36.898,010102,PERÚ,AMAZONAS,CHACHAPOYAS,ASUNCION
PERUANOS POR EL KAMBIO ,223.0,36.201,33.737,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
FUERZA POPULAR ,393.0,63.799,59.455,010103,PERÚ,AMAZONAS,CHACHAPOYAS,BALSAS
PERUANOS POR EL KAMBIO ,7222.0,55.32,52.216,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
FUERZA POPULAR ,5833.0,44.68,42.173,010101,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
PERUANOS POR EL KAMBIO ,253.0,60.671,56.098,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
FUERZA POPULAR ,164.0,39.329,36.364,010104,PERÚ,AMAZONAS,CHACHAPOYAS,CHETO
PERUANOS POR EL KAMBIO ,128.0,30.118,28.508,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
FUERZA POPULAR ,297.0,69.882,66.147,010105,PERÚ,AMAZONAS,CHACHAPOYAS,CHILIQUIN
PERUANOS POR EL KAMBIO ,296.0,42.105,39.785,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
FUERZA POPULAR ,407.0,57.895,54.704,010106,PERÚ,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
PERUANOS POR EL KAMBIO ,138.0,48.592,47.26,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
FUERZA POPULAR ,146.0,51.408,50.0,010107,PERÚ,AMAZONAS,CHACHAPOYAS,GRANADA
PERUANOS POR EL KAMBIO ,137.0,43.492,41.39,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
FUERZA POPULAR ,178.0,56.508,53.776,010108,PERÚ,AMAZONAS,CHACHAPOYAS,HUANCAS
PERUANOS POR EL KAMBIO ,1546.0,69.577,60.156,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
FUERZA POPULAR ,676.0,30.423,26.304,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
PERUANOS POR EL KAMBIO ,823.0,50.03,47.272,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
FUERZA POPULAR ,822.0,49.97,47.214,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
PERUANOS POR EL KAMBIO ,231.0,35.593,33.382,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
FUERZA POPULAR ,418.0,64.407,60.405,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
PERUANOS POR EL KAMBIO ,258.0,53.975,49.903,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
FUERZA POPULAR ,220.0,46.025,42.553,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
PERUANOS POR EL KAMBIO ,223.0,40.619,37.99,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
FUERZA POPULAR ,326.0,59.381,55.537,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
PERUANOS POR EL KAMBIO ,596.0,50.168,46.454,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
FUERZA POPULAR ,592.0,49.832,46.142,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
PERUANOS POR EL KAMBIO ,244.0,55.329,53.744,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
FUERZA POPULAR ,197.0,44.671,43.392,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
PERUANOS POR EL KAMBIO ,129.0,55.603,52.016,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
FUERZA POPULAR ,103.0,44.397,41.532,010116,PERÚ,AMAZONAS,CHACHAPOYAS,OLLEROS
PERUANOS POR EL KAMBIO ,345.0,75.658,69.0,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
FUERZA POPULAR ,111.0,24.342,22.2,010117,PERÚ,AMAZONAS,CHACHAPOYAS,QUINJALCA
PERUANOS POR EL KAMBIO ,122.0,56.481,55.455,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
FUERZA POPULAR ,94.0,43.519,42.727,010118,PERÚ,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
PERUANOS POR EL KAMBIO ,237.0,60.0,58.955,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
FUERZA POPULAR ,158.0,40.0,39.303,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
PERUANOS POR EL KAMBIO ,445.0,53.166,48.955,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
FUERZA POPULAR ,392.0,46.834,43.124,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
PERUANOS POR EL KAMBIO ,76.0,40.0,38.579,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
FUERZA POPULAR ,114.0,60.0,57.868,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
PERUANOS POR EL KAMBIO ,6069.0,60.696,42.149,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
FUERZA POPULAR ,3930.0,39.304,27.294,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
PERUANOS POR EL KAMBIO ,1620.0,82.485,48.014,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
FUERZA POPULAR ,344.0,17.515,10.196,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
